# compiler: R8
# compiler_version: 3.2.74
# min_api: 15
# common_typos_disable
# {"id":"com.android.tools.r8.mapping","version":"2.0"}
# pg_map_id: daecc1f
# pg_map_hash: SHA-256 daecc1f1cea6cda59aa46ac09d91b11cc4930289467bd0f8b0caadd9f1b4eaa0
com.ath0.rpn.CalculatorKeyLayout -> com.ath0.rpn.CalculatorKeyLayout:
    android.content.Context mycontext -> a
    1:1:void resizeKeys(int):0:0 -> onMeasure
    1:1:void onMeasure(int,int):0 -> onMeasure
    2:2:void onMeasure(int,int):0:0 -> onMeasure
com.ath0.rpn.CalculatorStack -> a.a:
    java.util.Stack stack -> a
    int scale -> b
    java.math.BigDecimal approxPow(java.math.BigDecimal,java.math.BigDecimal) -> a
    java.math.BigDecimal sqrt(java.math.BigDecimal,int) -> b
    1:1:java.lang.String com.ath0.rpn.CalculatorStack.formatNumber(java.math.BigDecimal):0:0 -> c
    1:1:java.lang.StringBuilder toString(int):0 -> c
    2:2:java.lang.StringBuilder toString(int):0:0 -> c
com.ath0.rpn.Eula -> a.e:
    void closeStream(java.io.Closeable) -> a
com.ath0.rpn.Eula$1 -> a.b:
    android.content.SharedPreferences val$preferences -> a
    android.app.Activity val$activity -> b
    1:1:void com.ath0.rpn.Eula.accept(android.content.SharedPreferences):0:0 -> onClick
    1:1:void com.ath0.rpn.Eula.access$000(android.content.SharedPreferences):0 -> onClick
    1:1:void onClick(android.content.DialogInterface,int):0 -> onClick
    2:2:void onClick(android.content.DialogInterface,int):0:0 -> onClick
com.ath0.rpn.Eula$2 -> a.c:
    android.app.Activity val$activity -> a
    0:65535:void com.ath0.rpn.Eula.refuse(android.app.Activity):0:0 -> onClick
    0:65535:void com.ath0.rpn.Eula.access$100(android.app.Activity):0 -> onClick
    0:65535:void onClick(android.content.DialogInterface,int):0 -> onClick
com.ath0.rpn.Eula$3 -> a.d:
    android.app.Activity val$activity -> a
    0:65535:void com.ath0.rpn.Eula.refuse(android.app.Activity):0:0 -> onCancel
    0:65535:void com.ath0.rpn.Eula.access$100(android.app.Activity):0 -> onCancel
    0:65535:void onCancel(android.content.DialogInterface):0 -> onCancel
com.ath0.rpn.Eula$OnEulaAgreedTo -> a.e$a:
    void onEulaAgreedTo() -> a
com.ath0.rpn.InputBuffer -> a.f:
    java.lang.StringBuilder buffer -> a
    void append(char) -> a
    void delete() -> b
    java.lang.String get() -> c
    boolean isEmpty() -> d
    void zap() -> e
com.ath0.rpn.Main -> com.ath0.rpn.Main:
    com.ath0.rpn.CalculatorStack stack -> b
    int screenlines -> d
