apk_name,metrics_type,TP,FP,TN,FN,Precision,Recall,F1_score,Time
de.devmil.paperlaunch,Layer1,15637,18160,630,0,0.4627,1,0.6326,14770.9304
com.example.muzei.muzeiapod,Layer1,5706,6907,215,0,0.4524,1,0.623,8798.83
de.schliweb.bluesharpbendingapp,Layer1,10812,14031,0,0,0.4352,1,0.6065,16925.0172
org.gdroid.gdroid,Layer1,14302,19462,562,0,0.4236,1,0.5951,20899.1679
com.quaap.launchtime,Layer1,5911,8508,77,0,0.4099,1,0.5815,11924.6428
de.devmil.muzei.bingimageofthedayartsource,Layer1,5587,8986,766,0,0.3834,1,0.5543,14707.501
com.machiav3lli.fdroid,Layer1,17120,29139,4702,0,0.3701,1,0.5402,10887.033
de.mm20.launcher2.release,Layer1,23580,41873,0,0,0.3603,1,0.5297,16119.0293
com.roozbehzarei.filester,Layer1,13898,25429,1593,0,0.3534,1,0.5222,12229.5256
cat.mvmike.minimalcalendarwidget,Layer1,6038,11282,1356,0,0.3486,1,0.517,4179.0537
com.termux.window,Layer1,6138,11511,478,0,0.3478,1,0.5161,13630.2744
fr.hnit.babyname,Layer1,5750,10798,628,0,0.3475,1,0.5157,17921.4739
de.miraisoft.wadoku,Layer1,5995,11878,499,0,0.3354,1,0.5023,15587.0855
eu.veldsoft.fish.rings,Layer1,5944,11836,542,0,0.3343,1,0.5011,17699.3394
com.flx,Layer1,12746,25947,2802,0,0.3294,1,0.4956,9231.3295
org.nuclearfog.apollo,Layer1,6894,14155,3164,0,0.3275,1,0.4934,21375.7752
com.example.timenotification,Layer1,5882,12088,589,0,0.3273,1,0.4932,8920.8776
com.unciv.app,Layer1,12487,25730,1596,0,0.3267,1,0.4925,13699.646
network.mysterium.vpn,Layer1,13689,28689,3167,0,0.323,1,0.4883,20147.441
de.mwarning.memento,Layer1,7257,15401,1567,0,0.3203,1,0.4852,16452.8442
com.reminimalism.materialslivewallpaper,Layer1,5376,11514,1294,0,0.3183,1,0.4829,12088.6978
org.grating.styncynotes,Layer1,12086,26002,2552,0,0.3173,1,0.4818,20967.8393
app.plugbrain.android,Layer1,12576,27235,2403,0,0.3159,1,0.4801,2940.0513
eu.ottop.yamlauncher,Layer1,6219,13766,1886,0,0.3112,1,0.4747,17653.7695
net.nhiroki.bluelineconsole,Layer1,5436,12090,1426,0,0.3102,1,0.4735,19955.7096
org.secuso.privacyfriendlybattleship,Layer1,7151,15906,2193,0,0.3101,1,0.4735,21937.715
com.pocket,Layer1,7515,16925,1818,0,0.3075,1,0.4703,11897.3625
me.ocv.partyup,Layer1,6138,13896,1249,0,0.3064,1,0.4691,19621.1567
de.phasenrauscher.bicyweather,Layer1,6075,13855,1165,0,0.3048,1,0.4672,16559.9127
eu.veldsoft.vitoshadm,Layer1,5969,13698,1017,0,0.3035,1,0.4657,17750.509
de.felixnuesse.timedsilence,Layer1,7408,17024,1635,0,0.3032,1,0.4653,14829.7094
io.github.yawnoc.strokeinput,Layer1,5981,13769,1122,0,0.3028,1,0.4649,19152.2563
me.mudkip.moememos,Layer1,12847,29829,2496,0,0.301,1,0.4628,19570.8355
me.sergiotarxz.bedrockstation.pro,Layer1,5900,13717,966,0,0.3008,1,0.4624,19729.0345
